feature,mean_abs_shap
labvalues_platelet_count_coeff_m,0.0
labvalues_platelet_count_rate_change_m,0.0
labvalues_inr(pt)_std_m,0.0
labvalues_platelet_count_last_m,0.0
labvalues_inr(pt)_first_m,0.0
labvalues_inr(pt)_last_m,0.0
labvalues_platelet_count_first_m,0.0
labvalues_lactate_min_m,0.0
labvalues_platelet_count_std_m,0.0
labvalues_platelet_count_max_m,0.0
labvalues_platelet_count_min_m,0.0
labvalues_platelet_count_median_m,0.0
labvalues_platelet_count_mean_m,0.0
labvalues_phosphate_coeff_m,0.0
labvalues_inr(pt)_coeff_m,0.0
labvalues_phosphate_rate_change_m,0.0
labvalues_phosphate_last_m,0.0
labvalues_lactate_median_m,0.0
labvalues_inr(pt)_rate_change_m,0.0
labvalues_oxygen_saturation_mean_m,0.0
labvalues_oxygen_saturation_median_m,0.0
labvalues_oxygen_saturation_min_m,0.0
labvalues_oxygen_saturation_max_m,0.0
labvalues_oxygen_saturation_std_m,0.0
labvalues_oxygen_saturation_first_m,0.0
labvalues_oxygen_saturation_last_m,0.0
labvalues_oxygen_saturation_rate_change_m,0.0
labvalues_oxygen_saturation_coeff_m,0.0
labvalues_pt_mean_m,0.0
labvalues_phosphate_max_m,0.0
labvalues_pt_median_m,0.0
labvalues_ptt_median_m,0.0
labvalues_ptt_mean_m,0.0
labvalues_pt_min_m,0.0
labvalues_pt_coeff_m,0.0
labvalues_pt_max_m,0.0
labvalues_pt_std_m,0.0
labvalues_pt_first_m,0.0
labvalues_pt_last_m,0.0
labvalues_pt_rate_change_m,0.0
labvalues_ptt_min_m,0.0
labvalues_phosphate_min_m,0.0
labvalues_magnesium_max_m,0.0
labvalues_phosphate_median_m,0.0
labvalues_magnesium_std_m,0.0
labvalues_ptt_coeff_m,0.0
labvalues_ptt_rate_change_m,0.0
labvalues_magnesium_first_m,0.0
labvalues_ptt_last_m,0.0
labvalues_magnesium_last_m,0.0
labvalues_magnesium_rate_change_m,0.0
labvalues_neutrophils_coeff_m,0.0
labvalues_magnesium_coeff_m,0.0
labvalues_neutrophils_mean_m,0.0
labvalues_neutrophils_median_m,0.0
labvalues_neutrophils_min_m,0.0
labvalues_neutrophils_max_m,0.0
labvalues_neutrophils_std_m,0.0
labvalues_neutrophils_first_m,0.0
labvalues_neutrophils_last_m,0.0
labvalues_ptt_std_m,0.0
labvalues_ptt_max_m,0.0
labvalues_ptt_first_m,0.0
"labvalues_fibrinogen,_functional_first_m",0.0
labvalues_sodium_mean_m,0.0
"labvalues_fibrinogen,_functional_last_m",0.0
"labvalues_fibrinogen,_functional_rate_change_m",0.0
labvalues_red_blood_cells_coeff_m,0.0
"labvalues_fibrinogen,_functional_coeff_m",0.0
labvalues_red_blood_cells_rate_change_m,0.0
labvalues_red_blood_cells_last_m,0.0
labvalues_free_calcium_median_m,0.0
labvalues_free_calcium_min_m,0.0
labvalues_alkaline_phosphatase_max_m,0.0
labvalues_free_calcium_max_m,0.0
labvalues_free_calcium_std_m,0.0
labvalues_free_calcium_first_m,0.0
labvalues_free_calcium_last_m,0.0
labvalues_red_blood_cells_std_m,0.0
labvalues_red_blood_cells_max_m,0.0
labvalues_red_blood_cells_min_m,0.0
labvalues_free_calcium_rate_change_m,0.0
labvalues_red_blood_cells_median_m,0.0
labvalues_free_calcium_coeff_m,0.0
labvalues_red_blood_cells_first_m,0.0
labvalues_creatinine_coeff_m,0.0
labvalues_eosinophils_mean_m,0.0
labvalues_eosinophils_median_m,0.0
labvalues_troponin_t_max_m,0.0
labvalues_troponin_t_min_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_eosinophils_max_m,0.0
labvalues_troponin_t_median_m,0.0
labvalues_eosinophils_std_m,0.0
labvalues_sodium_rate_change_m,0.0
"labvalues_fibrinogen,_functional_std_m",0.0
labvalues_eosinophils_last_m,0.0
labvalues_sodium_last_m,0.0
labvalues_sodium_first_m,0.0
labvalues_sodium_std_m,0.0
labvalues_eosinophils_coeff_m,0.0
labvalues_sodium_min_m,0.0
labvalues_sodium_median_m,0.0
"labvalues_fibrinogen,_functional_median_m",0.0
"labvalues_fibrinogen,_functional_min_m",0.0
"labvalues_fibrinogen,_functional_max_m",0.0
labvalues_eosinophils_first_m,0.0
labvalues_rdw_median_m,0.0
labvalues_hematocrit_rate_change_m,0.0
labvalues_hematocrit_coeff_m,0.0
labvalues_rdw_mean_m,0.0
labvalues_potassium_coeff_m,0.0
labvalues_potassium_rate_change_m,0.0
labvalues_potassium_last_m,0.0
labvalues_hemoglobin_median_m,0.0
labvalues_hemoglobin_min_m,0.0
labvalues_hemoglobin_max_m,0.0
labvalues_red_blood_cells_mean_m,0.0
labvalues_hemoglobin_first_m,0.0
labvalues_hemoglobin_last_m,0.0
labvalues_potassium_first_m,0.0
labvalues_hemoglobin_rate_change_m,0.0
labvalues_potassium_std_m,0.0
labvalues_hemoglobin_coeff_m,0.0
labvalues_potassium_max_m,0.0
labvalues_inr(pt)_median_m,0.0
labvalues_potassium_min_m,0.0
labvalues_potassium_median_m,0.0
