True_Label,MLP_Original_Probability,MLP_Platt_Scaling,MLP_Isotonic_Regression
0.0,0.015893669798970222,0.05290041268538118,0.014825796708464622
0.0,0.11777611076831818,0.09492627878440317,0.1456310749053955
0.0,0.03055201657116413,0.057630762488874526,0.030364371836185455
0.0,0.47045549750328064,0.4815531416459639,0.5833333134651184
0.0,0.02313026785850525,0.055188053070530034,0.030364371836185455
0.0,0.1234581246972084,0.09798858121055452,0.21910113096237183
0.0,0.05515377223491669,0.06647172030521802,0.0635538250207901
1.0,0.10980924963951111,0.09077689359893294,0.1456310749053955
0.0,0.09537968039512634,0.0836755778683721,0.12790697813034058
0.0,0.024539461359381676,0.05564423662483634,0.030364371836185455
0.0,0.31292346119880676,0.25959874330305716,0.41747573018074036
1.0,0.36272478103637695,0.32298970221731516,0.4883720874786377
0.0,0.06693630665540695,0.07113874388788871,0.0635538250207901
0.0,0.021347513422369957,0.05461598534585835,0.014825796708464622
0.0,0.04364290460944176,0.0621883199431984,0.0635538250207901
0.0,0.035286448895931244,0.0592416614232426,0.03999999910593033
0.0,0.009448563680052757,0.05093862761307061,0.0117647061124444
0.0,0.11658494919538498,0.09429526389937254,0.1456310749053955
0.0,0.05202075093984604,0.06527944664599335,0.0635538250207901
0.0,0.039713192731142044,0.06078595188592339,0.04471544548869133
0.0,0.14326640963554382,0.10936198436898895,0.21910113096237183
0.0,0.13759583234786987,0.10599271026391777,0.21910113096237183
0.0,0.009202123619616032,0.050864998407984335,0.0060240961611270905
0.0,0.05675046145915985,0.06708709393224702,0.0635538250207901
1.0,0.09473113715648651,0.08336856524179447,0.12790697813034058
1.0,0.027671147137880325,0.05667075924925664,0.030364371836185455
0.0,0.008240691386163235,0.05057871203390253,0.0060240961611270905
1.0,0.5421406030654907,0.5913394297400388,0.737864077091217
0.0,0.031587328761816025,0.05797947828323594,0.03999999910593033
0.0,0.02549006976187229,0.05595396907116231,0.030364371836185455
0.0,0.009561431594192982,0.050972382965978454,0.0117647061124444
1.0,0.15832611918449402,0.11876891928792271,0.26923078298568726
0.0,0.04876324534416199,0.06406091590961165,0.0635538250207901
0.0,0.0730300098657608,0.0736695387738405,0.07692307978868484
0.0,0.09295634180307388,0.08253362762714589,0.12790697813034058
0.0,0.01584962196648121,0.05288676619924581,0.014825796708464622
0.0,0.211203932762146,0.15747655354092902,0.37681159377098083
0.0,0.021412868052721024,0.05463685796999476,0.014825796708464622
0.0,0.12944567203521729,0.10131053926117023,0.21910113096237183
0.0,0.009740408509969711,0.051025952904464836,0.0117647061124444
0.0,0.4126946032047272,0.3938792405857708,0.5645161271095276
0.0,0.05714217200875282,0.06723886720931593,0.0635538250207901
0.0,0.006647050846368074,0.05010753003034657,0.001792114693671465
1.0,0.5299107432365417,0.5729436667987701,0.737864077091217
0.0,0.005974527448415756,0.04990993918394858,0.001792114693671465
0.0,0.013323379680514336,0.05210964906713999,0.014825796708464622
0.0,0.07806439697742462,0.07582263117522035,0.12195122241973877
0.0,0.010208621621131897,0.05116634678528916,0.0117647061124444
1.0,0.33540162444114685,0.28719587882130265,0.41747573018074036
0.0,0.022211240604519844,0.05489244547502054,0.014825796708464622
0.0,0.016727205365896225,0.05315927835257419,0.014825796708464622
0.0,0.11229343712329865,0.09205290641639369,0.1456310749053955
0.0,0.004301805514842272,0.0494216818333518,0.001792114693671465
0.0,0.02870962582528591,0.05701507048024468,0.030364371836185455
0.0,0.003002862213179469,0.04904565515320005,0.0
0.0,0.032913751900196075,0.05842914047789135,0.03999999910593033
1.0,0.6207923293113708,0.7018065897852221,0.737864077091217
0.0,0.027617353945970535,0.05665297727106731,0.030364371836185455
0.0,0.06688113510608673,0.07111620133206101,0.0635538250207901
0.0,0.02202947996556759,0.05483415858906615,0.014825796708464622
0.0,0.004576441831886768,0.04950153465275566,0.001792114693671465
0.0,0.008071759715676308,0.05052856694726981,0.001792114693671465
0.0,0.00310795777477324,0.04907597774770866,0.0
0.0,0.006790793500840664,0.05014985837439237,0.001792114693671465
