prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.024,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.024,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.024,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.024,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.024,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.025,Baseline,-,0.65,-,0.65,0.0,26,283,14,5746
0.025,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.025,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.025,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.026,Baseline,-,0.65,-,0.65,0.0,26,268,14,5761
0.026,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.026,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.026,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.027,Baseline,-,0.65,-,0.65,0.0,26,248,14,5781
0.027,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.027,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.027,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.028,Baseline,-,0.65,-,0.65,0.0,26,237,14,5792
0.028,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.028,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.028,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.029,Baseline,-,0.65,-,0.65,0.0,26,224,14,5805
0.029,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.029,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.029,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.03,Baseline,-,0.625,-,0.625,0.0,25,215,15,5814
0.03,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.03,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.03,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.031,Baseline,-,0.625,-,0.625,0.0,25,196,15,5833
0.031,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.031,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.031,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.032,Baseline,-,0.625,-,0.625,0.0,25,183,15,5846
0.032,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
